,SK_ID_CURR,PREVAPP_SK_ID_PREV_COUNT,PREVAPP_AMT_ANNUITY_LAST,PREVAPP_AMT_APPLICATION_LAST,PREVAPP_AMT_CREDIT_LAST,PREVAPP_AMT_DOWN_PAYMENT_LAST,PREVAPP_AMT_GOODS_PRICE_LAST,PREVAPP_FLAG_LAST_APPL_PER_CONTRACT_LAST,PREVAPP_DAYS_FIRST_DUE_LAST,PREVAPP_DAYS_LAST_DUE_1ST_VERSION_LAST,PREVAPP_DAYS_LAST_DUE_LAST,PREVAPP_AMT_DECLINED_LAST,PREVAPP_AMT_CREDIT_GOODS_RATIO_LAST,PREVAPP_AMT_CREDIT_GOODS_DIFF_LAST,PREVAPP_AMT_CREDIT_APPLICATION_RATIO_LAST,PREVAPP_CREDIT_DOWNPAYMENT_RATIO_LAST,PREVAPP_GOOD_DOWNPAYMET_RATIO_LAST,PREVAPP_ANNUITY_LAST,PREVAPP_ANNUITY_GOODS_LAST
0,100001,1,3951.0,24835.5,23787.0,2520.0,24835.5,1,-1709.0,-1499.0,-1619.0,1048.5,0.9577822065358932,-1048.5,1.0440786980098042,0.1059402194030604,0.1014676571434166,2973.371283285896,3104.433619457976
1,100002,1,9251.775,179055.0,179055.0,0.0,179055.0,1,-565.0,125.0,-25.0,0.0,0.9999999999441512,0.0,0.9999999999441512,0.0,0.0,7460.621891407545,7460.621891407545
2,100003,3,6737.31,68809.5,68053.5,6885.0,68809.5,1,-2310.0,-1980.0,-1980.0,756.0,0.9890131448435152,-756.0,1.0111089068143286,0.1011704026830111,0.1000588581373126,5671.120274066439,5734.120221566482
3,100004,1,5357.25,24282.0,20106.0,4860.0,24282.0,1,-784.0,-694.0,-724.0,4176.0,0.8280207557746393,-4176.0,1.207699193669701,0.24171888976339456,0.2001482578864392,5026.487433781416,6070.4848237879405
4,100005,2,4813.2,44617.5,40153.5,4464.0,44617.5,1,-706.0,-376.0,-466.0,4464.0,0.8999495711548272,-4464.0,1.1111733719075114,0.11117337215655586,0.10005042862104543,3346.1222115648243,3718.1219015650818
5,100006,9,32696.1,688500.0,906615.0,2693.34,688500.0,1,-545.0,-215.0,-425.0,-218115.0,1.3167973856017896,218115.0,0.7594182756654212,0.11120772942268148,0.10007825402767716,18887.808565039883,14343.747011719373
6,100007,6,22678.785,202500.0,215865.0,3105.0,202500.0,1,-1076.0,-746.0,-746.0,-13365.0,1.0659999999473582,13365.0,0.9380863038965056,0.10126210739286368,0.10014513784868727,17988.735009387492,16874.98593751172
7,100008,5,12144.285,121455.0,109309.5,12145.5,121455.0,1,-2299.0,-2029.0,-2029.0,12145.5,0.8999999999258984,-12145.5,1.111111111009463,0.11111111110094628,0.0999999999917665,10930.93906906093,12145.487854512146
8,100009,7,9845.01,98460.0,88614.0,9846.0,98460.0,1,-1531.0,-1261.0,-1261.0,9846.0,0.8999999999085923,-9846.0,1.1111111109857232,0.11111111109857233,0.0999999999898436,8861.391138608862,9845.990154009847
9,100010,1,27463.41,247212.0,260811.0,0.0,247212.0,1,-1039.0,-769.0,-769.0,-13599.0,1.055009465517248,13599.0,0.9478587942629776,0.0,0.0,26081.07391892608,24721.175278824718
10,100011,4,31295.25,675000.0,732915.0,0.0,675000.0,1,-1159.0,-289.0,-289.0,-57915.0,1.085799999983914,57915.0,0.9209799226251204,0.0,0.0,24430.491856502715,22499.9925000025
11,100012,4,9482.355,0.0,0.0,0.0,90000.0,1,-477.0,33.0,-147.0,0.0,1.2696999998589222,24273.0,0.0,0.0,0.0,6348.496473057515,4999.997222223766
12,100013,4,4742.415,22455.0,24232.5,0.0,22455.0,1,-242.0,-92.0,-92.0,-1777.5,1.0791583161526794,1777.5,0.9266480961821322,0.0,0.0,4038.743268761219,3742.493762510396
13,100014,2,11567.475,119272.5,131868.0,0.0,119272.5,1,-813.0,-483.0,-483.0,-12595.5,1.1056027163758952,12595.5,0.9044840294154396,0.0,0.0,10988.990842507632,9939.366717194403
14,100015,1,7666.92,68850.0,67077.0,6885.0,68850.0,1,-2360.0,-2090.0,-2090.0,1773.0,0.9742483658715688,-1773.0,1.026432308984237,0.10264323089842373,0.09999999998547568,6707.693292306708,6884.993115006885
15,100016,4,7124.04,98500.5,98500.5,0.0,98500.5,1,-1295.0,-605.0,-605.0,0.0,0.9999999998984777,0.0,0.9999999998984777,0.0,0.0,4104.185789922588,4104.185789922588
16,100017,2,11783.52,195291.0,198409.5,22500.0,195291.0,1,-581.0,109.0,365243.0,-3118.5,1.015968477758014,3118.5,0.9842825065843984,0.11340182803175244,0.1152126826062024,8267.059055392061,8137.121609532664
17,100018,4,4180.365,36805.365,36805.365,0.0,36805.365,1,-149.0,121.0,365243.0,0.0,0.9999999997283004,0.0,0.9999999997283004,0.0,0.0,3680.5328194671806,3680.5328194671806
18,100019,1,10518.615,84136.5,104683.5,0.0,84136.5,1,-894.0,-564.0,-714.0,-20547.0,1.2442103009699463,20547.0,0.8037226496244658,0.0,0.0,8723.617730318558,7011.369157192369
19,100020,2,5729.265,32512.5,35086.5,0.0,32512.5,1,-211.0,-1.0,365243.0,-2574.0,1.0791695498410858,2574.0,0.9266384504220602,0.0,0.0,4385.807017741228,4064.0574199282255
20,100021,6,33750.0,0.0,675000.0,0.0,26100.0,1,365243.0,365243.0,365243.0,-675000.0,1.0527586202862993,1377.0,0.0,0.0,0.0,67499999999.999985,4349.992750012084
21,100022,1,6765.975,89091.0,103203.0,0.0,89091.0,1,-209.0,301.0,365243.0,-14112.0,1.1583998382374874,14112.0,0.8632597888759764,0.0,0.0,5733.4968147239915,4949.497250279305
22,100023,4,2250.0,45000.0,45000.0,7870.5,45000.0,1,365243.0,365243.0,365243.0,0.0,0.9999999997777776,0.0,0.9999999997777776,0.10264084505703693,0.09999999998729432,4500000000.0,4500000000.0
23,100025,8,23833.575,0.0,0.0,0.0,225000.0,1,-1669.0,-1159.0,-1159.0,0.0,1.2696999999435692,60682.5,0.0,0.0,0.0,15871.24118264379,12499.993055559416
24,100026,3,42778.845,0.0,0.0,0.0,675000.0,1,-438.0,612.0,-408.0,0.0,1.10295999998366,69498.0,0.0,0.0,0.0,20680.49425541826,18749.994791668112
25,100027,4,21569.22,0.0,0.0,0.0,202500.0,1,-441.0,-111.0,-111.0,0.0,1.0659999999473582,13365.0,0.0,0.0,0.0,17988.735009387492,16874.98593751172
26,100028,5,6028.02,49315.5,49315.5,0.0,49315.5,1,-1773.0,-1083.0,-1083.0,0.0,0.9999999997972241,0.0,0.9999999997972241,0.0,0.0,5448.560229766571,5448.560229766571
27,100029,1,22891.68,126000.0,126000.0,0.0,126000.0,1,-293.0,-143.0,-203.0,0.0,0.9999999999206348,0.0,0.9999999999206348,0.0,0.0,20999.96500005833,20999.96500005833
28,100030,12,4373.055,17055.0,15349.5,1705.5,17055.0,1,-2818.0,-2728.0,-2818.0,1705.5,0.8999999994722955,-1705.5,1.1111111103872366,0.11111111103872366,0.09999999994136616,3837.365406586484,4263.739340651649
29,100032,1,7910.145,69255.0,42255.0,27000.0,69255.0,1,-1466.0,-1316.0,-1316.0,27000.0,0.6101364521536153,-27000.0,1.6389776353948695,0.6389776356315281,0.38986354770199066,7042.488262519563,11542.480762532063
30,100033,1,5542.92,53599.5,53329.5,5364.0,53599.5,1,-818.0,-488.0,-488.0,270.0,0.9949626393912324,-270.0,1.0050628637048795,0.10058222932887384,0.10007556038767608,4444.121296565586,4466.621277815601
31,100034,2,22430.43,94500.0,109971.0,12145.5,94500.0,1,-569.0,-419.0,-449.0,-15471.0,1.163714285591141,15471.0,0.8593174563421886,0.1055368733778632,0.0999999999917665,18328.469452550915,15749.973750043753
32,100035,22,22308.75,675000.0,675000.0,9360.0,675000.0,1,-1397.0,-887.0,-887.0,0.0,0.9999999999851852,0.0,0.9999999999851852,0.08695652173105198,0.07999999999316239,14062.497070313111,14062.497070313111
